Port: 22
Service: SSH
Product: No match found
Vulnerabilities: 



Port: 80
Service: HTTP
Product: Apache 2.4.7
Vulnerabilities: 
CVE-2012-2379 | CVSS: 10.0 | Risk: Critical
CVE-2020-1953 | CVSS: 10.0 | Risk: Critical
CVE-2009-3555 | CVSS: 9.8 | Risk: Critical
CVE-2015-3253 | CVSS: 9.8 | Risk: Critical
CVE-2016-6808 | CVSS: 9.8 | Risk: Critical
CVE-2017-3167 | CVSS: 9.8 | Risk: Critical
CVE-2017-3169 | CVSS: 9.8 | Risk: Critical
CVE-2017-7679 | CVSS: 9.8 | Risk: Critical
CVE-2012-0803 | CVSS: 9.8 | Risk: Critical
CVE-2016-6814 | CVSS: 9.8 | Risk: Critical
CVE-2018-1312 | CVSS: 9.8 | Risk: Critical
CVE-2018-8018 | CVSS: 9.8 | Risk: Critical
CVE-2020-9480 | CVSS: 9.8 | Risk: Critical
CVE-2020-11984 | CVSS: 9.8 | Risk: Critical
CVE-2021-26691 | CVSS: 9.8 | Risk: Critical
CVE-2021-30690 | CVSS: 9.8 | Risk: Critical
CVE-2021-39275 | CVSS: 9.8 | Risk: Critical
CVE-2021-41773 | CVSS: 9.8 | Risk: Critical
CVE-2021-42013 | CVSS: 9.8 | Risk: Critical
CVE-2021-38294 | CVSS: 9.8 | Risk: Critical
CVE-2021-40865 | CVSS: 9.8 | Risk: Critical
CVE-2021-37580 | CVSS: 9.8 | Risk: Critical
CVE-2021-44790 | CVSS: 9.8 | Risk: Critical
CVE-2021-45029 | CVSS: 9.8 | Risk: Critical
CVE-2022-22720 | CVSS: 9.8 | Risk: Critical
CVE-2022-23943 | CVSS: 9.8 | Risk: Critical
CVE-2022-31813 | CVSS: 9.8 | Risk: Critical
CVE-2022-33980 | CVSS: 9.8 | Risk: Critical
CVE-2022-25168 | CVSS: 9.8 | Risk: Critical
CVE-2022-38054 | CVSS: 9.8 | Risk: Critical
CVE-2017-9788 | CVSS: 9.1 | Risk: Critical
CVE-2019-10082 | CVSS: 9.1 | Risk: Critical
CVE-2022-23944 | CVSS: 9.1 | Risk: Critical
CVE-2022-22721 | CVSS: 9.1 | Risk: Critical
CVE-2022-28615 | CVSS: 9.1 | Risk: Critical
CVE-2021-40438 | CVSS: 9.0 | Risk: Critical
CVE-2016-6801 | CVSS: 8.8 | Risk: High
CVE-2017-7661 | CVSS: 8.8 | Risk: High
CVE-2022-24288 | CVSS: 8.8 | Risk: High
CVE-2021-25642 | CVSS: 8.8 | Risk: High
CVE-2022-37435 | CVSS: 8.8 | Risk: High
CVE-2020-11988 | CVSS: 8.2 | Risk: High
CVE-2021-44224 | CVSS: 8.2 | Risk: High
CVE-2016-5387 | CVSS: 8.1 | Risk: High
